movie_title,release_date,genre,MPAA_rating,director,animated,MovieSuccessLevel
Planes: Fire and Rescue,18-Jul-14,Adventure,PG,Roberts Gannaway,Yes,C
Tin Men,6-Mar-87,Comedy,R,Barry Levinson,NO,C
Renaissance Man,3-Jun-94,Comedy,PG-13,Penny Marshall,NO,C
Playing God,17-Oct-97,Thriller/Suspense,R,Andy Wilson,NO,D
Phenomenon,5-Jul-96,Drama,PG,Jon Turteltaub,NO,B
Gnomeo and Juliet,11-Feb-11,Comedy,G,Kelly Asbury,Yes,B
The Color of Money,17-Oct-86,Drama,R,Martin Scorsese,NO,B
Blackbeard's Ghost,8-Feb-68,Comedy,G,Robert Stevenson,NO,B
Ernest Scared Stupid,11-Oct-91,Comedy,PG,John R. Cherry III,NO,C
The Emperor's New Groove,15-Dec-00,Adventure,G,Mark Dindal,Yes,B
Double Take,12-Jan-01,Action,PG-13,George Gallo,NO,C
Rocket Man,10-Oct-97,Comedy,PG,Oscar Rudolph,NO,C
Mulan,19-Jun-98,Adventure,G,Barry Cook,NO,A
Song of the South,12-Nov-46,Adventure,G,Wilfred Jackson,Yes,S
The Black Hole,21-Dec-79,Adventure,PG,Gary Nelson,NO,B
Raising Helen,28-May-04,Comedy,PG-13,Garry Marshall,NO,C
A Gun in Betty Lou's Handbag,21-Aug-92,Comedy,PG-13,Allan Moyle,NO,D
The Air Up There,7-Jan-94,Comedy,PG,Paul Michael Glaser,NO,C
Roommates,3-Mar-95,Comedy,PG,Peter Yates,NO,C
Morning Light,17-Oct-08,Documentary,PG,Mark Monroe,NO,D
Valiant,19-Aug-05,Adventure,G,Gary Chapman,Yes,C
Down and Out in Beverly Hills,31-Jan-86,Comedy,R,Paul Mazursky,NO,B
Tarzan,16-Jun-99,Adventure,G,Chris Buck,NO,A
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,Wes Anderson,NO,B
James and the Giant Peach,12-Apr-96,Adventure,PG,Henry Selick,Yes,C
"Mystery, Alaska",1-Oct-99,Comedy,R,Jay Roach,NO,D
Last Dance,3-May-96,Drama,R,Thomas Carter,NO,D
My Science Project,9-Aug-85,Comedy,PG,Jonathan R. Betuel,NO,D
Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,David R. Ellis,NO,C
The Muppets,23-Nov-11,Comedy,PG,James Bobin,NO,B
Turner & Hooch,28-Jul-89,Comedy,PG,Roger Spottiswoode,NO,B
Oceans,22-Apr-10,Documentary,G,Gary Ross,NO,C
It's Pat,26-Aug-94,Comedy,PG-13,Adam Bernstein,NO,D
The Finest Hours,29-Jan-16,Thriller/Suspense,PG,Craig Gillespie,NO,C
Shoot to Kill,12-Feb-88,Action,R,Roger Spottiswoode,NO,C
Hannah Montana the Movie,10-Apr-09,Drama,G,Peter Chelsom,NO,B
First Kid,30-Aug-96,Comedy,PG,David M. Evans,NO,C
Consenting Adults,16-Oct-92,Drama,R,Alan J. Pakula,NO,C
Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,Peter Hedges,NO,C
Sorority Boys,22-Mar-02,Comedy,R,Wallace Wolodarsky,NO,D
Simon Birch,11-Sep-98,Drama,PG,Mark Steven Johnson,NO,C
In the Army Now,12-Aug-94,Comedy,PG,Daniel Petrie Jr.,NO,C
Bad Company,7-Jun-02,Action,PG-13,Joel Schumacher,NO,C
Wreck-It Ralph,2-Nov-12,Adventure,PG,Rich Moore,Yes,A
Iron Man 3,3-May-13,Action,PG-13,Shane Black,NO,A
Cinderella,15-Feb-50,Drama,G,Wilfred Jackson,NO,S
One Magic Christmas,22-Nov-85,Drama,G,Phillip Borsos,NO,C
Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,Raja Gosnell,NO,B
WALL-E,27-Jun-08,Adventure,G,Andrew Stanton,Yes,A
Aladdin,11-Nov-92,Comedy,G,Ron Clements,NO,A
Casanova,25-Dec-05,Drama,R,Lasse Hallström,NO,D
Thor: The Dark World,8-Nov-13,Adventure,PG-13,Alan Taylor,NO,A
Monkey Kingdom,17-Apr-15,Documentary,G,Alastair Fothergill,NO,D
Ernest Saves Christmas,11-Nov-88,Comedy,PG,John R. Cherry III,NO,C
Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,Unknown,NO,B
Saving Mr. Banks,13-Dec-13,Drama,PG-13,John Lee Hancock,NO,B
The Aristocats,24-Apr-70,Musical,G,Wolfgang Reitherman,Yes,A
Calendar Girls,19-Dec-03,Comedy,PG-13,Nigel Cole,NO,C
Unstrung Heroes,15-Sep-95,Drama,PG,Diane Keaton,NO,D
Three Fugitives,27-Jan-89,Comedy,PG-13,Francis Veber,NO,B
Tomorrowland,22-May-15,Adventure,PG,Brad Bird,NO,B
The Village,30-Jul-04,Thriller/Suspense,PG-13,M. Night Shyamalan,NO,B
"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,Miguel Arteta,NO,C
Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,Frank Marshall,NO,B
Lincoln,9-Nov-12,Drama,PG-13,Timur Bekmambetov,NO,B
The Horse Whisperer,15-May-98,Drama,PG-13,Robert Redford,NO,B
Muppets Most Wanted,21-Mar-14,Comedy,PG,James Bobin,NO,C
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,Unknown,Yes,B
Spaced Invaders,27-Apr-90,Comedy,PG,Patrick Read Johnson,NO,C
Just Visiting,6-Apr-01,Comedy,PG-13,Jean-Marie Poiré,NO,D
Holes,18-Apr-03,Drama,PG,Andrew Davis,NO,B
The Last Shot,24-Sep-04,Comedy,R,Jeff Nathanson,NO,D
The Jungle Book,18-Oct-67,Musical,Not Rated,Wolfgang Reitherman,NO,S
Meet the Robinsons,30-Mar-07,Adventure,G,Stephen J. Anderson,Yes,B
Dead Poets Society,2-Jun-89,Drama,PG,Peter Weir,NO,A
Avengers: Age of Ultron,1-May-15,Action,PG-13,Joss Whedon,NO,A
Man of the House,3-Mar-95,Comedy,PG,Stephen Herek,NO,B
Bears,18-Apr-14,Documentary,G,Daniel Chong,NO,D
Passed Away,24-Apr-92,Comedy,PG-13,Charlie Peters,NO,D
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,Unknown,NO,D
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,Gary Trousdale,Yes,B
Ernest Goes to Camp,22-May-87,Comedy,PG,John R. Cherry III,NO,C
Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,Unknown,Yes,D
Spy Hard,24-May-96,Comedy,PG-13,Rick Friedberg,NO,C
Snow Dogs,18-Jan-02,Comedy,PG,Brian Levant,NO,B
Frankenweenie,5-Oct-12,Comedy,PG,Tim Burton,Yes,C
Tuck Everlasting,11-Oct-02,Drama,PG,Jay Russell,NO,C
Hauru no ugoku shiro,10-Jun-05,Adventure,PG,Hayao Miyazaki,Yes,D
Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,Unknown,Yes,D
Return to Oz,21-Jun-85,Adventure,G,Walter Murch,NO,C
Disney's A Christmas Carol,6-Nov-09,Drama,PG,Robert Zemeckis,Yes,B
Prefontaine,24-Jan-97,Drama,PG-13,Steve James,NO,D
Beaches,21-Dec-88,Drama,PG-13,Garry Marshall,NO,B
101 Dalmatians,25-Jan-61,Comedy,G,Stephen Herek,NO,S
The Last Song,31-Mar-10,Drama,PG,Julie Anne Robinson,NO,C
Father Hood,27-Aug-93,Action,PG-13,Darrell James Roodt,NO,D
Encino Man,22-May-09,Family,PG,Les Mayfield,NO,B
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,Andy Tennant,NO,B
Play it to the Bone,24-Dec-99,Comedy,R,Ron Shelton,NO,D
The Odd Life of Timothy Green,15-Aug-12,Drama,PG,Peter Hedges,NO,C
Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,Randal Kleiser,NO,B
Hercules,13-Jun-97,Adventure,G,Ron Clements,Yes,B
